,id,name,alias1,alias2,alias3,gek,predicates,studbookId,father,fatherId,mother,motherId,fatherOfMother,fatherOfMotherId,year,studbook,reg,fei,redId,sex,chipnumber,isDeceased
193,2435885,SUDDER,,,,,,426.0,,,,,,,2019,Onbekend,,,1554292.0,0,,False
194,2435877,TRIUMPF KMS,,,,,,4.0,MENKO VAN DE WELLINGTON,1638198.0,FORMICA DU HOUSSOIT,756284.0,DOREE VAN DE MOSKIFARM,183863.0,2019,BWP (Belgium Warmblood),056002W00324978,,1554171.0,1,,False
195,2435875,ONBEK,,,,,,10.0,,,,,,,2019,Selle Francais,,,1554133.0,2,,False
196,2435874,ONBEK,,,,,,10.0,,,,,,,2019,Selle Francais,,,1554132.0,2,,False
197,2435873,ONBEK,,,,,,10.0,,,,,,,2019,Selle Francais,,,1554130.0,2,,False
198,2435792,CERES Z123,,,,,,1.0,COH-I-NOOR SZ,2135594.0,AMALIA,584716.0,ROYAL BRAVOUR,2646.0,2019,KWPN (Royal Dutch Sporthorse),,,1551834.0,2,,False
199,2435616,SUDDER,,,,,,7.0,,,,,,,2019,Anglo European Studbook,,,1547653.0,2,,False
200,2435509,BURZUM MS Z,,,,,,5.0,BAMAKO DE MUZE,272900.0,JAG PANZER MS,1776662.0,INAR C,1553377.0,2019,Zangersheide,,,1545302.0,1,,False
201,2435450,UNREAL CONTENDER,,,,,,2.0,URIKO,495352.0,,,,,2019,Holsteiner Verband,DE421000357219,,1543024.0,0,,False
202,2435310,DAKOTA D?ERES Z,,,,,,5.0,D'AGANIX 2000 Z,1702410.0,GAUDY VAN INNCREATIONS,688171.0,CICERO Z VAN PAEMEL,45370.0,2019,Zangersheide,056015Z55375019,,1538225.0,2,,False
203,2435210,ONBEK,,,,,,5.0,,,,,,,2019,Zangersheide,,,1536017.0,2,,False
204,2435016,ONBEK,,,,,,1.0,,,,,,,2019,KWPN (Royal Dutch Sporthorse),,,1528692.0,0,,False
205,2434979,SUDDER,,,,,,1.0,,,,,,,2019,KWPN (Royal Dutch Sporthorse),,,1527273.0,2,,False
206,2434961,SUDDER,,,,,,12.0,,,,,,,2019,Hannoveraner Verband e.V,,,1526419.0,0,,False
207,2434822,TALLY HO EH,,,,,,4.0,EMERALD VAN 'T RUYTERSHOF,196504.0,FARFELU DE LA POMME,395870.0,VIGO D'ARSOUILLES,69655.0,2019,BWP (Belgium Warmblood),,,1523950.0,0,,False
208,2434820,SUDDER,,,,,,5.0,,,,,,,2019,Zangersheide,,,1523892.0,2,,False
209,2434723,SUDDER,,,,,,2.0,,,,,,,2019,Holsteiner Verband,,,1521284.0,0,,False
210,2434560,IDEAL II VM Z,,,,,,5.0,IDEAL DE LA LOGE,111003.0,CHEZANE Z,237715.0,CALVARO Z,25365.0,2019,Zangersheide,,,1515663.0,0,,False
211,2434559,BENJAMIN V123,,,,,,107.0,BALOU DU ROUET,8240.0,WHISPER V,2044620.0,WODAN M,174578.0,2019,Estonian Sport Horse Breeders Society,23300119A155111,,1515621.0,0,,False
212,2434553,SUDDER,,,,,,5.0,,,,,,,2019,Zangersheide,,,1515272.0,2,,False
213,2434522,ONBEK,,,,,,5.0,,,,,,,2019,Zangersheide,,,1514348.0,0,,False
214,2434480,ONBEK,,,,,,1.0,,,,,,,2019,KWPN (Royal Dutch Sporthorse),,,1513011.0,2,,False
215,2434470,DONAU,,,,,,8.0,,,DONAUSCHWALBE,1776150.0,MILLENNIUM,415625.0,2019,Trakehner,DE409090301819,,1512805.0,2,,False
216,2434437,ONBEK,,,,,,6.0,,,,,,,2019,Oldenburger Verband,,,1512034.0,2,,False
217,2434379,ONBEK,,,,,,1.0,,,,,,,2019,KWPN (Royal Dutch Sporthorse),528003201905171,,1510183.0,0,,False
218,2434360,SUDDER,,,,,,116.0,,,,,,,2019,Deutsches Sportpferd,,,1509326.0,0,,False
